Satellite,GroundStation,Time_Minutes,Elevation_deg,Range_km,QBER,SKR,Viable
ISRO-QKD-01,Dehradun,0,-20.8685,5933.856,1.0,0.0,False
ISRO-QKD-01,Dehradun,5,-19.4744,5697.259,1.0,0.0,False
ISRO-QKD-01,Dehradun,10,-20.6388,5887.304,1.0,0.0,False
ISRO-QKD-01,Dehradun,15,-24.067,6460.5,1.0,0.0,False
ISRO-QKD-01,Dehradun,20,-29.0196,7293.085,1.0,0.0,False
ISRO-QKD-01,Dehradun,25,-34.8316,8253.023,1.0,0.0,False
ISRO-QKD-01,Dehradun,30,-41.0538,9234.264,1.0,0.0,False
ISRO-QKD-01,Dehradun,35,-47.3738,10158.275,1.0,0.0,False
ISRO-QKD-01,Dehradun,40,-53.5101,10966.976,1.0,0.0,False
ISRO-QKD-01,Dehradun,45,-59.1108,11616.755,1.0,0.0,False
ISRO-QKD-01,Dehradun,50,-63.6424,12074.878,1.0,0.0,False
ISRO-QKD-01,Dehradun,55,-66.3314,12317.633,1.0,0.0,False
ISRO-QKD-01,Dehradun,60,-66.4255,12329.51,1.0,0.0,False
ISRO-QKD-01,Dehradun,65,-63.8203,12102.991,1.0,0.0,False
ISRO-QKD-01,Dehradun,70,-59.1443,11638.747,1.0,0.0,False
ISRO-QKD-01,Dehradun,75,-53.1502,10946.221,1.0,0.0,False
ISRO-QKD-01,Dehradun,80,-46.3699,10044.81,1.0,0.0,False
ISRO-QKD-01,Dehradun,85,-39.1336,8966.278,1.0,0.0,False
ISRO-QKD-01,Dehradun,90,-31.6729,7759.979,1.0,0.0,False
ISRO-QKD-01,Dehradun,95,-24.2356,6504.757,1.0,0.0,False
ISRO-QKD-01,Dehradun,100,-17.2944,5335.557,1.0,0.0,False
ISRO-QKD-01,Dehradun,105,-12.0446,4487.857,1.0,0.0,False
ISRO-QKD-01,Dehradun,110,-10.73,4277.041,1.0,0.0,False
ISRO-QKD-01,Dehradun,115,-14.3166,4825.282,1.0,0.0,False
ISRO-QKD-01,Dehradun,120,-20.8803,5899.89,1.0,0.0,False
ISRO-QKD-01,Dehradun,125,-28.6046,7205.015,1.0,0.0,False
ISRO-QKD-01,Dehradun,130,-36.7334,8547.335,1.0,0.0,False
ISRO-QKD-01,Dehradun,135,-44.9762,9811.249,1.0,0.0,False
ISRO-QKD-01,Dehradun,140,-53.1641,10921.573,1.0,0.0,False
ISRO-QKD-01,Dehradun,145,-61.0961,11825.051,1.0,0.0,False
ISRO-QKD-01,Dehradun,150,-68.3601,12482.559,1.0,0.0,False
ISRO-QKD-01,Dehradun,155,-73.8899,12865.922,1.0,0.0,False
ISRO-QKD-01,Dehradun,160,-75.415,12956.671,1.0,0.0,False
ISRO-QKD-01,Dehradun,165,-71.7985,12745.613,1.0,0.0,False
ISRO-QKD-01,Dehradun,170,-65.1199,12232.716,1.0,0.0,False
ISRO-QKD-01,Dehradun,175,-57.1292,11427.146,1.0,0.0,False
ISRO-QKD-01,Dehradun,180,-48.5026,10347.44,1.0,0.0,False
ISRO-QKD-01,Dehradun,185,-39.4668,9022.1,1.0,0.0,False
ISRO-QKD-01,Dehradun,190,-30.058,7491.533,1.0,0.0,False
ISRO-QKD-01,Dehradun,195,-20.1628,5814.74,1.0,0.0,False
ISRO-QKD-01,Dehradun,200,-9.4398,4095.796,1.0,0.0,False
ISRO-QKD-01,Dehradun,205,2.2659,2613.461,1.0,0.0,False
ISRO-QKD-01,Dehradun,210,5.947,2256.777,1.0,0.0,False
ISRO-QKD-01,Dehradun,215,-5.0427,3443.462,1.0,0.0,False
ISRO-QKD-01,Dehradun,220,-16.4649,5152.415,1.0,0.0,False
ISRO-QKD-01,Dehradun,225,-26.9185,6911.094,1.0,0.0,False
ISRO-QKD-01,Dehradun,230,-36.8924,8568.197,1.0,0.0,False
ISRO-QKD-01,Dehradun,235,-46.6263,10046.115,1.0,0.0,False
ISRO-QKD-01,Dehradun,240,-56.224,11291.386,1.0,0.0,False
ISRO-QKD-01,Dehradun,245,-65.7202,12263.441,1.0,0.0,False
ISRO-QKD-01,Dehradun,250,-75.0667,12931.692,1.0,0.0,False
ISRO-QKD-01,Dehradun,255,-83.7067,13274.863,1.0,0.0,False
ISRO-QKD-01,Dehradun,260,-83.731,13280.951,1.0,0.0,False
ISRO-QKD-01,Dehradun,265,-75.0529,12947.296,1.0,0.0,False
ISRO-QKD-01,Dehradun,270,-65.6116,12280.573,1.0,0.0,False
ISRO-QKD-01,Dehradun,275,-55.9628,11296.623,1.0,0.0,False
ISRO-QKD-01,Dehradun,280,-46.1386,10020.106,1.0,0.0,False
ISRO-QKD-01,Dehradun,285,-36.0681,8484.023,1.0,0.0,False
ISRO-QKD-01,Dehradun,290,-25.554,6729.316,1.0,0.0,False
ISRO-QKD-01,Dehradun,295,-14.038,4805.44,1.0,0.0,False
ISRO-QKD-01,Dehradun,300,0.729,2778.182,1.0,0.0,False
ISRO-QKD-01,Dehradun,305,40.9451,876.842,0.059839,0.00061227,True
ISRO-QKD-01,Dehradun,310,13.2707,1723.887,0.067668,0.00014942,True
ISRO-QKD-01,Dehradun,315,-7.3857,3754.527,1.0,0.0,False
ISRO-QKD-01,Dehradun,320,-20.0455,5742.504,1.0,0.0,False
ISRO-QKD-01,Dehradun,325,-30.9617,7591.521,1.0,0.0,False
ISRO-QKD-01,Dehradun,330,-41.2116,9245.32,1.0,0.0,False
ISRO-QKD-01,Dehradun,335,-51.1152,10658.061,1.0,0.0,False
ISRO-QKD-01,Dehradun,340,-60.7715,11791.824,1.0,0.0,False
ISRO-QKD-01,Dehradun,345,-70.1336,12616.809,1.0,0.0,False
ISRO-QKD-01,Dehradun,350,-78.7477,13111.925,1.0,0.0,False
ISRO-QKD-01,Dehradun,355,-83.1744,13265.351,1.0,0.0,False
ISRO-QKD-01,Dehradun,360,-77.6396,13074.96,1.0,0.0,False
ISRO-QKD-01,Dehradun,365,-68.9148,12548.603,1.0,0.0,False
ISRO-QKD-01,Dehradun,370,-59.6266,11704.333,1.0,0.0,False
ISRO-QKD-01,Dehradun,375,-50.1415,10570.771,1.0,0.0,False
ISRO-QKD-01,Dehradun,380,-40.5273,9188.161,1.0,0.0,False
ISRO-QKD-01,Dehradun,385,-30.7704,7611.742,1.0,0.0,False
ISRO-QKD-01,Dehradun,390,-20.8073,5922.806,1.0,0.0,False
ISRO-QKD-01,Dehradun,395,-10.6104,4268.699,1.0,0.0,False
ISRO-QKD-01,Dehradun,400,-1.4101,3012.734,1.0,0.0,False
ISRO-QKD-01,Dehradun,405,-0.7055,2917.622,1.0,0.0,False
ISRO-QKD-01,Dehradun,410,-9.4465,4058.373,1.0,0.0,False
ISRO-QKD-01,Dehradun,415,-19.5023,5655.063,1.0,0.0,False
ISRO-QKD-01,Dehradun,420,-29.2131,7298.925,1.0,0.0,False
ISRO-QKD-01,Dehradun,425,-38.5497,8831.338,1.0,0.0,False
ISRO-QKD-01,Dehradun,430,-47.5149,10170.563,1.0,0.0,False
ISRO-QKD-01,Dehradun,435,-55.9952,11264.408,1.0,0.0,False
ISRO-QKD-01,Dehradun,440,-63.6588,12077.274,1.0,0.0,False
ISRO-QKD-01,Dehradun,445,-69.6845,12586.227,1.0,0.0,False
ISRO-QKD-01,Dehradun,450,-72.4196,12779.807,1.0,0.0,False
ISRO-QKD-01,Dehradun,455,-70.5231,12657.777,1.0,0.0,False
ISRO-QKD-01,Dehradun,460,-65.108,12231.29,1.0,0.0,False
ISRO-QKD-01,Dehradun,465,-57.9871,11523.433,1.0,0.0,False
ISRO-QKD-01,Dehradun,470,-50.1548,10570.471,1.0,0.0,False
ISRO-QKD-01,Dehradun,475,-42.0837,9424.651,1.0,0.0,False
ISRO-QKD-01,Dehradun,480,-34.0784,8160.489,1.0,0.0,False
ISRO-QKD-01,Dehradun,485,-26.4901,6888.398,1.0,0.0,False
ISRO-QKD-01,Dehradun,490,-19.9726,5779.794,1.0,0.0,False
ISRO-QKD-01,Dehradun,495,-15.8303,5085.748,1.0,0.0,False
ISRO-QKD-01,Dehradun,500,-15.66,5047.474,1.0,0.0,False
ISRO-QKD-01,Dehradun,505,-19.455,5664.271,1.0,0.0,False
ISRO-QKD-01,Dehradun,510,-25.5567,6689.832,1.0,0.0,False
ISRO-QKD-01,Dehradun,515,-32.5744,7867.864,1.0,0.0,False
ISRO-QKD-01,Dehradun,520,-39.7796,9027.194,1.0,0.0,False
ISRO-QKD-01,Dehradun,525,-46.7406,10062.53,1.0,0.0,False
ISRO-QKD-01,Dehradun,530,-53.0623,10907.693,1.0,0.0,False
ISRO-QKD-01,Dehradun,535,-58.2382,11520.994,1.0,0.0,False
ISRO-QKD-01,Dehradun,540,-61.5951,11878.448,1.0,0.0,False
ISRO-QKD-01,Dehradun,545,-62.4819,11970.788,1.0,0.0,False
ISRO-QKD-01,Dehradun,550,-60.7436,11802.305,1.0,0.0,False
ISRO-QKD-01,Dehradun,555,-56.9006,11390.729,1.0,0.0,False
ISRO-QKD-01,Dehradun,560,-51.7337,10767.946,1.0,0.0,False
ISRO-QKD-01,Dehradun,565,-45.916,9981.753,1.0,0.0,False
ISRO-QKD-01,Dehradun,570,-39.9738,9099.01,1.0,0.0,False
ISRO-QKD-01,Dehradun,575,-34.387,8210.121,1.0,0.0,False
ISRO-QKD-01,Dehradun,580,-29.7005,7432.154,1.0,0.0,False
ISRO-QKD-01,Dehradun,585,-26.5677,6900.245,1.0,0.0,False
ISRO-QKD-01,Dehradun,590,-25.5934,6729.572,1.0,0.0,False
ISRO-QKD-01,Dehradun,595,-26.9579,6953.911,1.0,0.0,False
ISRO-QKD-01,Dehradun,600,-30.247,7501.446,1.0,0.0,False
ISRO-QKD-01,Dehradun,605,-34.7512,8240.863,1.0,0.0,False
ISRO-QKD-01,Dehradun,610,-39.8004,9040.794,1.0,0.0,False
ISRO-QKD-01,Dehradun,615,-44.846,9796.746,1.0,0.0,False
ISRO-QKD-01,Dehradun,620,-49.4045,10433.457,1.0,0.0,False
ISRO-QKD-01,Dehradun,625,-52.9973,10900.042,1.0,0.0,False
ISRO-QKD-01,Dehradun,630,-55.1609,11165.404,1.0,0.0,False
ISRO-QKD-01,Dehradun,635,-55.5646,11215.342,1.0,0.0,False
ISRO-QKD-01,Dehradun,640,-54.1709,11051.14,1.0,0.0,False
ISRO-QKD-01,Dehradun,645,-51.2657,10689.279,1.0,0.0,False
ISRO-QKD-01,Dehradun,650,-47.3197,10162.094,1.0,0.0,False
ISRO-QKD-01,Dehradun,655,-42.8401,9519.32,1.0,0.0,False
ISRO-QKD-01,Dehradun,660,-38.3223,8830.159,1.0,0.0,False
ISRO-QKD-01,Dehradun,665,-34.2726,8184.157,1.0,0.0,False
ISRO-QKD-01,Dehradun,670,-31.2322,7685.871,1.0,0.0,False
ISRO-QKD-01,Dehradun,675,-29.7187,7434.901,1.0,0.0,False
ISRO-QKD-01,Dehradun,680,-30.0456,7489.766,1.0,0.0,False
ISRO-QKD-01,Dehradun,685,-32.1478,7838.229,1.0,0.0,False
ISRO-QKD-01,Dehradun,690,-35.6232,8404.069,1.0,0.0,False
ISRO-QKD-01,Dehradun,695,-39.9354,9082.735,1.0,0.0,False
ISRO-QKD-01,Dehradun,700,-44.5564,9773.176,1.0,0.0,False
ISRO-QKD-01,Dehradun,705,-48.9877,10392.067,1.0,0.0,False
ISRO-QKD-01,Dehradun,710,-52.7252,10876.284,1.0,0.0,False
ISRO-QKD-01,Dehradun,715,-55.2493,11181.32,1.0,0.0,False
ISRO-QKD-01,Dehradun,720,-56.1092,11279.314,1.0,0.0,False
ISRO-QKD-01,Dehradun,725,-55.0979,11157.799,1.0,0.0,False
ISRO-QKD-01,Dehradun,730,-52.3596,10819.346,1.0,0.0,False
ISRO-QKD-01,Dehradun,735,-48.2955,10282.178,1.0,0.0,False
ISRO-QKD-01,Dehradun,740,-43.3883,9582.048,1.0,0.0,False
ISRO-QKD-01,Dehradun,745,-38.1146,8775.841,1.0,0.0,False
ISRO-QKD-01,Dehradun,750,-32.9659,7947.19,1.0,0.0,False
ISRO-QKD-01,Dehradun,755,-28.5285,7211.897,1.0,0.0,False
ISRO-QKD-01,Dehradun,760,-25.5357,6712.623,1.0,0.0,False
ISRO-QKD-01,Dehradun,765,-24.7177,6581.086,1.0,0.0,False
ISRO-QKD-01,Dehradun,770,-26.3751,6867.802,1.0,0.0,False
ISRO-QKD-01,Dehradun,775,-30.146,7507.099,1.0,0.0,False
ISRO-QKD-01,Dehradun,780,-35.3302,8363.828,1.0,0.0,False
ISRO-QKD-01,Dehradun,785,-41.2737,9298.985,1.0,0.0,False
ISRO-QKD-01,Dehradun,790,-47.4574,10199.342,1.0,0.0,False
ISRO-QKD-01,Dehradun,795,-53.4101,10979.85,1.0,0.0,False
ISRO-QKD-01,Dehradun,800,-58.5801,11578.458,1.0,0.0,False
ISRO-QKD-01,Dehradun,805,-62.2287,11951.354,1.0,0.0,False
ISRO-QKD-01,Dehradun,810,-63.5205,12070.006,1.0,0.0,False
ISRO-QKD-01,Dehradun,815,-62.0106,11919.615,1.0,0.0,False
ISRO-QKD-01,Dehradun,820,-58.0374,11498.554,1.0,0.0,False
ISRO-QKD-01,Dehradun,825,-52.3586,10818.606,1.0,0.0,False
