Satellite,GroundStation,Time_Minutes,Elevation_deg,Range_km,QBER,SKR,Viable
ISRO-QKD-01,Hanle,0,-19.3047,5672.901,1.0,0.0,False
ISRO-QKD-01,Hanle,5,-18.2117,5488.233,1.0,0.0,False
ISRO-QKD-01,Hanle,10,-19.9272,5768.816,1.0,0.0,False
ISRO-QKD-01,Hanle,15,-23.9435,6440.244,1.0,0.0,False
ISRO-QKD-01,Hanle,20,-29.3815,7354.472,1.0,0.0,False
ISRO-QKD-01,Hanle,25,-35.5604,8371.687,1.0,0.0,False
ISRO-QKD-01,Hanle,30,-42.0565,9386.801,1.0,0.0,False
ISRO-QKD-01,Hanle,35,-48.5784,10324.509,1.0,0.0,False
ISRO-QKD-01,Hanle,40,-54.8487,11129.971,1.0,0.0,False
ISRO-QKD-01,Hanle,45,-60.4949,11762.432,1.0,0.0,False
ISRO-QKD-01,Hanle,50,-64.9256,12191.717,1.0,0.0,False
ISRO-QKD-01,Hanle,55,-67.286,12396.498,1.0,0.0,False
ISRO-QKD-01,Hanle,60,-66.8374,12363.568,1.0,0.0,False
ISRO-QKD-01,Hanle,65,-63.6592,12087.681,1.0,0.0,False
ISRO-QKD-01,Hanle,70,-58.5278,11571.782,1.0,0.0,False
ISRO-QKD-01,Hanle,75,-52.2083,10827.624,1.0,0.0,False
ISRO-QKD-01,Hanle,80,-45.1952,9877.057,1.0,0.0,False
ISRO-QKD-01,Hanle,85,-37.7859,8754.712,1.0,0.0,False
ISRO-QKD-01,Hanle,90,-30.194,7513.976,1.0,0.0,False
ISRO-QKD-01,Hanle,95,-22.6714,6240.887,1.0,0.0,False
ISRO-QKD-01,Hanle,100,-15.757,5085.467,1.0,0.0,False
ISRO-QKD-01,Hanle,105,-10.8747,4309.914,1.0,0.0,False
ISRO-QKD-01,Hanle,110,-10.4519,4235.808,1.0,0.0,False
ISRO-QKD-01,Hanle,115,-14.8957,4918.499,1.0,0.0,False
ISRO-QKD-01,Hanle,120,-21.907,6073.45,1.0,0.0,False
ISRO-QKD-01,Hanle,125,-29.836,7412.524,1.0,0.0,False
ISRO-QKD-01,Hanle,130,-38.0653,8759.459,1.0,0.0,False
ISRO-QKD-01,Hanle,135,-46.3573,10009.164,1.0,0.0,False
ISRO-QKD-01,Hanle,140,-54.5573,11092.363,1.0,0.0,False
ISRO-QKD-01,Hanle,145,-62.4529,11959.506,1.0,0.0,False
ISRO-QKD-01,Hanle,150,-69.5733,12574.167,1.0,0.0,False
ISRO-QKD-01,Hanle,155,-74.6702,12910.391,1.0,0.0,False
ISRO-QKD-01,Hanle,160,-75.3255,12951.691,1.0,0.0,False
ISRO-QKD-01,Hanle,165,-70.9851,12690.709,1.0,0.0,False
ISRO-QKD-01,Hanle,170,-63.9731,12129.148,1.0,0.0,False
ISRO-QKD-01,Hanle,175,-55.8308,11277.831,1.0,0.0,False
ISRO-QKD-01,Hanle,180,-47.1206,10156.921,1.0,0.0,False
ISRO-QKD-01,Hanle,185,-38.0245,8796.637,1.0,0.0,False
ISRO-QKD-01,Hanle,190,-28.5533,7239.602,1.0,0.0,False
ISRO-QKD-01,Hanle,195,-18.5646,5549.03,1.0,0.0,False
ISRO-QKD-01,Hanle,200,-7.676,3842.049,1.0,0.0,False
ISRO-QKD-01,Hanle,205,3.8858,2455.619,1.0,0.0,False
ISRO-QKD-01,Hanle,210,4.7286,2364.238,1.0,0.0,False
ISRO-QKD-01,Hanle,215,-6.8454,3687.652,1.0,0.0,False
ISRO-QKD-01,Hanle,220,-18.0749,5417.822,1.0,0.0,False
ISRO-QKD-01,Hanle,225,-28.4208,7165.357,1.0,0.0,False
