Satellite,GroundStation,Time_Minutes,Elevation_deg,Range_km,QBER,SKR,Viable
ISRO-QKD-01,MtAbu,0,-24.4446,6535.465,1.0,0.0,False
ISRO-QKD-01,MtAbu,5,-21.7869,6082.429,1.0,0.0,False
ISRO-QKD-01,MtAbu,10,-21.1954,5977.653,1.0,0.0,False
ISRO-QKD-01,MtAbu,15,-22.9119,6261.728,1.0,0.0,False
ISRO-QKD-01,MtAbu,20,-26.5781,6877.852,1.0,0.0,False
ISRO-QKD-01,MtAbu,25,-31.5604,7711.954,1.0,0.0,False
ISRO-QKD-01,MtAbu,30,-37.3052,8647.211,1.0,0.0,False
ISRO-QKD-01,MtAbu,35,-43.4153,9587.9,1.0,0.0,False
ISRO-QKD-01,MtAbu,40,-49.5828,10460.604,1.0,0.0,False
ISRO-QKD-01,MtAbu,45,-55.4955,11209.309,1.0,0.0,False
ISRO-QKD-01,MtAbu,50,-60.7342,11791.09,1.0,0.0,False
ISRO-QKD-01,MtAbu,55,-64.6637,12173.478,1.0,0.0,False
ISRO-QKD-01,MtAbu,60,-66.4491,12333.115,1.0,0.0,False
ISRO-QKD-01,MtAbu,65,-65.4938,12255.231,1.0,0.0,False
ISRO-QKD-01,MtAbu,70,-61.9954,11933.618,1.0,0.0,False
ISRO-QKD-01,MtAbu,75,-56.6938,11370.978,1.0,0.0,False
ISRO-QKD-01,MtAbu,80,-50.2745,10579.707,1.0,0.0,False
ISRO-QKD-01,MtAbu,85,-43.1861,9583.473,1.0,0.0,False
ISRO-QKD-01,MtAbu,90,-35.7108,8420.562,1.0,0.0,False
ISRO-QKD-01,MtAbu,95,-28.0705,7151.526,1.0,0.0,False
ISRO-QKD-01,MtAbu,100,-20.568,5877.333,1.0,0.0,False
ISRO-QKD-01,MtAbu,105,-13.9262,4779.497,1.0,0.0,False
ISRO-QKD-01,MtAbu,110,-10.0102,4166.299,1.0,0.0,False
ISRO-QKD-01,MtAbu,115,-11.2131,4338.121,1.0,0.0,False
ISRO-QKD-01,MtAbu,120,-16.8309,5223.517,1.0,0.0,False
ISRO-QKD-01,MtAbu,125,-24.3891,6489.125,1.0,0.0,False
ISRO-QKD-01,MtAbu,130,-32.6008,7872.802,1.0,0.0,False
ISRO-QKD-01,MtAbu,135,-41.0219,9221.869,1.0,0.0,False
ISRO-QKD-01,MtAbu,140,-49.4666,10443.106,1.0,0.0,False
ISRO-QKD-01,MtAbu,145,-57.783,11473.151,1.0,0.0,False
ISRO-QKD-01,MtAbu,150,-65.7131,12266.004,1.0,0.0,False
ISRO-QKD-01,MtAbu,155,-72.5946,12788.042,1.0,0.0,False
ISRO-QKD-01,MtAbu,160,-76.5554,13016.063,1.0,0.0,False
ISRO-QKD-01,MtAbu,165,-74.9449,12936.572,1.0,0.0,False
ISRO-QKD-01,MtAbu,170,-68.9223,12545.532,1.0,0.0,False
ISRO-QKD-01,MtAbu,175,-61.0522,11848.295,1.0,0.0,False
ISRO-QKD-01,MtAbu,180,-52.4007,10859.588,1.0,0.0,False
ISRO-QKD-01,MtAbu,185,-43.3027,9603.647,1.0,0.0,False
ISRO-QKD-01,MtAbu,190,-33.8303,8114.933,1.0,0.0,False
ISRO-QKD-01,MtAbu,195,-23.8901,6440.978,1.0,0.0,False
ISRO-QKD-01,MtAbu,200,-13.1227,4654.052,1.0,0.0,False
ISRO-QKD-01,MtAbu,205,-0.5251,2910.953,1.0,0.0,False
ISRO-QKD-01,MtAbu,210,11.5826,1835.89,0.068397,0.00013103,True
ISRO-QKD-01,MtAbu,215,1.7484,2641.502,1.0,0.0,False
ISRO-QKD-01,MtAbu,220,-11.4936,4361.943,1.0,0.0,False
ISRO-QKD-01,MtAbu,225,-22.6968,6194.341,1.0,0.0,False
