Satellite,GroundStation,Time_Minutes,Elevation_deg,Range_km,QBER,SKR,Viable
ISRO-QKD-01,Shillong,0,-23.6306,6397.936,1.0,0.0,False
ISRO-QKD-01,Shillong,5,-24.8924,6611.016,1.0,0.0,False
ISRO-QKD-01,Shillong,10,-27.7042,7084.71,1.0,0.0,False
ISRO-QKD-01,Shillong,15,-31.6216,7738.541,1.0,0.0,False
ISRO-QKD-01,Shillong,20,-36.2137,8486.854,1.0,0.0,False
ISRO-QKD-01,Shillong,25,-41.136,9255.934,1.0,0.0,False
ISRO-QKD-01,Shillong,30,-46.1103,9987.493,1.0,0.0,False
ISRO-QKD-01,Shillong,35,-50.8758,10636.577,1.0,0.0,False
ISRO-QKD-01,Shillong,40,-55.1404,11168.685,1.0,0.0,False
ISRO-QKD-01,Shillong,45,-58.5446,11557.574,1.0,0.0,False
ISRO-QKD-01,Shillong,50,-60.6703,11783.925,1.0,0.0,False
ISRO-QKD-01,Shillong,55,-61.1492,11834.684,1.0,0.0,False
ISRO-QKD-01,Shillong,60,-59.8476,11702.906,1.0,0.0,False
ISRO-QKD-01,Shillong,65,-56.9465,11387.993,1.0,0.0,False
ISRO-QKD-01,Shillong,70,-52.8149,10896.332,1.0,0.0,False
ISRO-QKD-01,Shillong,75,-47.837,10242.437,1.0,0.0,False
ISRO-QKD-01,Shillong,80,-42.3379,9450.92,1.0,0.0,False
ISRO-QKD-01,Shillong,85,-36.5963,8559.899,1.0,0.0,False
ISRO-QKD-01,Shillong,90,-30.8988,7626.845,1.0,0.0,False
ISRO-QKD-01,Shillong,95,-25.6289,6737.726,1.0,0.0,False
ISRO-QKD-01,Shillong,100,-21.3862,6016.432,1.0,0.0,False
ISRO-QKD-01,Shillong,105,-19.0323,5616.407,1.0,0.0,False
ISRO-QKD-01,Shillong,110,-19.3352,5660.216,1.0,0.0,False
ISRO-QKD-01,Shillong,115,-22.2912,6150.751,1.0,0.0,False
ISRO-QKD-01,Shillong,120,-27.1579,6970.62,1.0,0.0,False
ISRO-QKD-01,Shillong,125,-33.1327,7968.314,1.0,0.0,False
ISRO-QKD-01,Shillong,130,-39.6683,9016.598,1.0,0.0,False
ISRO-QKD-01,Shillong,135,-46.4122,10021.368,1.0,0.0,False
ISRO-QKD-01,Shillong,140,-53.0785,10913.709,1.0,0.0,False
ISRO-QKD-01,Shillong,145,-59.3269,11642.159,1.0,0.0,False
ISRO-QKD-01,Shillong,150,-64.6169,12168.015,1.0,0.0,False
ISRO-QKD-01,Shillong,155,-68.0522,12462.931,1.0,0.0,False
ISRO-QKD-01,Shillong,160,-68.5715,12507.836,1.0,0.0,False
ISRO-QKD-01,Shillong,165,-65.8828,12292.571,1.0,0.0,False
ISRO-QKD-01,Shillong,170,-60.7903,11815.953,1.0,0.0,False
ISRO-QKD-01,Shillong,175,-54.2582,11086.176,1.0,0.0,False
ISRO-QKD-01,Shillong,180,-46.9005,10121.703,1.0,0.0,False
ISRO-QKD-01,Shillong,185,-39.0496,8953.246,1.0,0.0,False
ISRO-QKD-01,Shillong,190,-30.8975,7628.5,1.0,0.0,False
ISRO-QKD-01,Shillong,195,-22.61,6224.381,1.0,0.0,False
ISRO-QKD-01,Shillong,200,-14.5398,4880.297,1.0,0.0,False
ISRO-QKD-01,Shillong,205,-8.0092,3877.061,1.0,0.0,False
ISRO-QKD-01,Shillong,210,-6.5688,3664.231,1.0,0.0,False
ISRO-QKD-01,Shillong,215,-11.6541,4398.259,1.0,0.0,False
ISRO-QKD-01,Shillong,220,-19.6699,5689.804,1.0,0.0,False
ISRO-QKD-01,Shillong,225,-28.4008,7167.167,1.0,0.0,False
ISRO-QKD-01,Shillong,230,-37.279,8633.986,1.0,0.0,False
ISRO-QKD-01,Shillong,235,-46.1584,9982.691,1.0,0.0,False
ISRO-QKD-01,Shillong,240,-54.9587,11144.124,1.0,0.0,False
ISRO-QKD-01,Shillong,245,-63.5508,12068.872,1.0,0.0,False
